server_timestamp_ms,client_id,snapshot_id,seq_num,cpu_percent,recv_time_ms,latency_ms
1765121802323,2,264,,,1765121802339,16
1765121802349,1,265,265,,,
1765121802349,2,265,265,,,
1765121802323,1,264,,,1765121802349,26
1765121802349,1,265,,,1765121802349,0
1765121802349,2,265,,,1765121802356,7
1765121802375,1,266,266,,,
1765121802375,2,266,266,,,
1765121802375,2,266,,,1765121802380,5
1765121802375,1,266,,,1765121802380,5
1765121802400,1,267,267,,,
1765121802400,2,267,267,,,
1765121802400,2,267,,,1765121802412,12
1765121802400,1,267,,,1765121802412,12
1765121802426,1,268,268,,,
1765121802426,2,268,268,,,
1765121802426,1,268,,,1765121802428,2
1765121802426,2,268,,,1765121802428,2
1765121802451,1,269,269,,,
1765121802451,2,269,269,,,
1765121802451,2,269,,,1765121802458,7
1765121802451,1,269,,,1765121802458,7
1765121802477,1,270,270,,,
1765121802477,2,270,270,,,
1765121802477,2,270,,,1765121802491,14
1765121802477,1,270,,,1765121802491,14
1765121802504,1,271,271,,,
1765121802504,2,271,271,,,
1765121802504,2,271,,,1765121802506,2
1765121802504,1,271,,,1765121802507,3
1765121802529,1,272,272,,,
1765121802529,2,272,272,,,
1765121802529,1,272,,,1765121802540,11
1765121802529,2,272,,,1765121802541,12
1765121802556,1,273,273,,,
1765121802556,2,273,273,,,
1765121802556,1,273,,,1765121802556,0
1765121802556,2,273,,,1765121802570,14
1765121802582,1,274,274,,,
1765121802582,2,274,274,,,
1765121802582,2,274,,,1765121802586,4
1765121802582,1,274,,,1765121802601,19
1765121802608,1,275,275,,,
1765121802608,2,275,275,,,
1765121802608,2,275,,,1765121802617,9
1765121802608,1,275,,,1765121802617,9
1765121802634,1,276,276,,,
1765121802634,2,276,276,,,
1765121802634,1,276,,,1765121802649,15
1765121802634,2,276,,,1765121802649,15
1765121802660,1,277,277,,,
1765121802660,2,277,277,,,
1765121802660,1,277,,,1765121802665,5
1765121802660,2,277,,,1765121802665,5
1765121802686,1,278,278,,,
1765121802686,2,278,278,,,
1765121802686,1,278,,,1765121802695,9
1765121802686,2,278,,,1765121802696,10
1765121802713,1,279,279,,,
1765121802713,2,279,279,,,
1765121802713,2,279,,,1765121802727,14
1765121802713,1,279,,,1765121802728,15
1765121802738,1,280,280,,,
1765121802738,2,280,280,,,
1765121802738,2,280,,,1765121802743,5
1765121802738,1,280,,,1765121802743,5
1765121802764,1,281,281,,,
1765121802764,2,281,281,,,
1765121802764,2,281,,,1765121802774,10
1765121802764,1,281,,,1765121802774,10
1765121802790,1,282,282,,,
1765121802790,2,282,282,,,
1765121802790,1,282,,,1765121802806,16
1765121802790,2,282,,,1765121802806,16
1765121802816,1,283,283,,,
1765121802816,2,283,283,,,
1765121802816,2,283,,,1765121802821,5
1765121802816,1,283,,,1765121802821,5
1765121802841,1,284,284,,,
1765121802841,2,284,284,,,
1765121802841,2,284,,,1765121802852,11
1765121802841,1,284,,,1765121802852,11
1765121802867,1,285,285,,,
1765121802867,2,285,285,,,
1765121802867,2,285,,,1765121802868,1
1765121802867,1,285,,,1765121802868,1
1765121802892,1,286,286,,,
1765121802892,2,286,286,,,
1765121802892,2,286,,,1765121802898,6
1765121802892,1,286,,,1765121802899,7
1765121802918,1,287,287,,,
1765121802918,2,287,287,,,
1765121802918,2,287,,,1765121802931,13
1765121802918,1,287,,,1765121802931,13
1765121802943,1,288,288,,,
1765121802943,2,288,288,,,
1765121802943,2,288,,,1765121802946,3
1765121802943,1,288,,,1765121802946,3
1765121802969,1,289,289,,,
1765121802969,2,289,289,,,
1765121802969,1,289,,,1765121802978,9
1765121802969,2,289,,,1765121802978,9
1765121802995,1,290,290,,,
1765121802995,2,290,290,,,
1765121802995,1,290,,,1765121803009,14
1765121802995,2,290,,,1765121803012,17
1765121803021,1,291,291,,,
1765121803021,2,291,291,,,
1765121803021,2,291,,,1765121803032,11
1765121803021,1,291,,,1765121803040,19
1765121803047,1,292,292,,,
1765121803047,2,292,292,,,
1765121803047,1,292,,,1765121803057,10
1765121803047,2,292,,,1765121803067,20
1765121803072,1,293,293,,,
1765121803072,2,293,293,,,
1765121803072,2,293,,,1765121803082,10
1765121803072,1,293,,,1765121803087,15
1765121803098,1,294,294,,,
1765121803098,2,294,294,,,
1765121803098,2,294,,,1765121803104,6
1765121803098,1,294,,,1765121803104,6
1765121803123,1,295,295,,,
1765121803123,2,295,295,,,
1765121803123,2,295,,,1765121803135,12
1765121803123,1,295,,,1765121803135,12
1765121803149,1,296,296,,,
1765121803149,2,296,296,,,
1765121803149,1,296,,,1765121803151,2
1765121803149,2,296,,,1765121803151,2
1765121803174,1,297,297,,,
1765121803174,2,297,297,,,
1765121803174,2,297,,,1765121803183,9
1765121803174,1,297,,,1765121803183,9
1765121803200,1,298,298,,,
1765121803200,2,298,298,,,
1765121803200,2,298,,,1765121803214,14
1765121803200,1,298,,,1765121803216,16
1765121803225,1,299,299,,,
1765121803225,2,299,299,,,
1765121803225,2,299,,,1765121803229,4
1765121803225,1,299,,,1765121803232,7
1765121803251,1,300,300,,,
1765121803251,2,300,300,,,
1765121803251,2,300,,,1765121803263,12
1765121803251,1,300,,,1765121803263,12
1765121803277,1,301,301,,,
1765121803277,2,301,301,,,
1765121803277,2,301,,,1765121803278,1
1765121803277,1,301,,,1765121803279,2
1765121803302,1,302,302,,,
1765121803302,2,302,302,,,
1765121803302,2,302,,,1765121803311,9
1765121803302,1,302,,,1765121803311,9
1765121803328,1,303,303,,,
1765121803328,2,303,303,,,
1765121803328,2,303,,,1765121803342,14
1765121803328,1,303,,,1765121803342,14
1765121803353,1,304,304,,,
1765121803353,2,304,304,,,
1765121803353,2,304,,,1765121803359,6
1765121803353,1,304,,,1765121803359,6
1765121803379,1,305,305,,,
1765121803379,2,305,305,,,
1765121803379,1,305,,,1765121803390,11
1765121803379,2,305,,,1765121803391,12
1765121803405,1,306,306,,,
1765121803405,2,306,306,,,
1765121803405,1,306,,,1765121803406,1
1765121803405,2,306,,,1765121803406,1
1765121803430,1,307,307,,,
1765121803430,2,307,307,,,
1765121803430,1,307,,,1765121803437,7
1765121803430,2,307,,,1765121803437,7
1765121803456,1,308,308,,,
1765121803456,2,308,308,,,
1765121803456,2,308,,,1765121803468,12
1765121803456,1,308,,,1765121803469,13
1765121803481,1,309,309,,,
1765121803481,2,309,309,,,
1765121803481,2,309,,,1765121803485,4
1765121803481,1,309,,,1765121803485,4
1765121803507,1,310,310,,,
1765121803507,2,310,310,,,
1765121803507,2,310,,,1765121803516,9
1765121803507,1,310,,,1765121803517,10
1765121803532,1,311,311,,,
1765121803532,2,311,311,,,
1765121803532,2,311,,,1765121803548,16
1765121803532,1,311,,,1765121803548,16
1765121803558,1,312,312,,,
1765121803558,2,312,312,,,
1765121803558,2,312,,,1765121803564,6
1765121803558,1,312,,,1765121803564,6
1765121803584,1,313,313,,,
1765121803584,2,313,313,,,
1765121803584,2,313,,,1765121803594,10
1765121803584,1,313,,,1765121803595,11
1765121803610,1,314,314,,,
1765121803610,2,314,314,,,
1765121803610,2,314,,,1765121803611,1
1765121803610,1,314,,,1765121803611,1
1765121803636,1,315,315,,,
1765121803636,2,315,315,,,
1765121803636,2,315,,,1765121803641,5
1765121803636,1,315,,,1765121803657,21
1765121803662,1,316,316,,,
1765121803662,2,316,316,,,
1765121803662,2,316,,,1765121803672,10
1765121803662,1,316,,,1765121803673,11
1765121803688,1,317,317,,,
1765121803688,2,317,317,,,
1765121803688,1,317,,,1765121803688,0
1765121803688,2,317,,,1765121803704,16
1765121803714,1,318,318,,,
1765121803714,2,318,318,,,
1765121803714,2,318,,,1765121803720,6
1765121803714,1,318,,,1765121803720,6
1765121803740,1,319,319,,,
1765121803740,2,319,319,,,
1765121803740,1,319,,,1765121803752,12
1765121803740,2,319,,,1765121803752,12
1765121803766,1,320,320,,,
1765121803766,2,320,320,,,
1765121803766,2,320,,,1765121803768,2
1765121803766,1,320,,,1765121803783,17
1765121803793,1,321,321,,,
1765121803793,2,321,321,,,
1765121803793,2,321,,,1765121803797,4
1765121803793,1,321,,,1765121803813,20
1765121803818,1,322,322,,,
1765121803818,2,322,322,,,
1765121803818,2,322,,,1765121803828,10
1765121803818,1,322,,,1765121803829,11
1765121803844,1,323,323,,,
1765121803844,2,323,323,,,
1765121803844,2,323,,,1765121803861,17
1765121803844,1,323,,,1765121803861,17
1765121803870,1,324,324,,,
1765121803870,2,324,324,,,
1765121803870,2,324,,,1765121803877,7
1765121803870,1,324,,,1765121803877,7
1765121803896,1,325,325,,,
1765121803896,2,325,325,,,
1765121803896,2,325,,,1765121803909,13
1765121803896,1,325,,,1765121803909,13
1765121803921,1,326,326,,,
1765121803921,2,326,326,,,
1765121803921,2,326,,,1765121803926,5
1765121803921,1,326,,,1765121803926,5
1765121803947,1,327,327,,,
1765121803947,2,327,327,,,
1765121803947,2,327,,,1765121803958,11
1765121803947,1,327,,,1765121803958,11
1765121803973,1,328,328,,,
1765121803973,2,328,328,,,
1765121803973,1,328,,,1765121803974,1
1765121803973,2,328,,,1765121803974,1
1765121803999,1,329,329,,,
1765121803999,2,329,329,,,
1765121803999,1,329,,,1765121804007,8
1765121803999,2,329,,,1765121804007,8
1765121804025,1,330,330,,,
1765121804025,2,330,330,,,
1765121804051,1,331,331,,,
1765121804051,2,331,331,,,
1765121804025,2,330,,,1765121804053,28
1765121804051,2,331,,,1765121804054,3
1765121804025,1,330,,,1765121804055,30
1765121804051,1,331,,,1765121804055,4
1765121804076,1,332,332,,,
1765121804076,2,332,332,,,
1765121804076,1,332,,,1765121804086,10
1765121804076,2,332,,,1765121804086,10
1765121804103,1,333,333,,,
1765121804103,2,333,333,,,
1765121804103,2,333,,,1765121804119,16
1765121804103,1,333,,,1765121804119,16
1765121804129,1,334,334,,,
1765121804129,2,334,334,,,
1765121804129,1,334,,,1765121804135,6
1765121804129,2,334,,,1765121804135,6
1765121804155,1,335,335,,,
1765121804155,2,335,335,,,
1765121804155,2,335,,,1765121804167,12
1765121804155,1,335,,,1765121804167,12
1765121804181,1,336,336,,,
1765121804181,2,336,336,,,
1765121804181,2,336,,,1765121804184,3
1765121804181,1,336,,,1765121804184,3
1765121804206,1,337,337,,,
1765121804206,2,337,337,,,
1765121804206,1,337,,,1765121804217,11
1765121804206,2,337,,,1765121804217,11
1765121804232,1,338,338,,,
1765121804232,2,338,338,,,
1765121804232,2,338,,,1765121804232,0
1765121804232,1,338,,,1765121804232,0
1765121804258,1,339,339,,,
1765121804258,2,339,339,,,
1765121804258,2,339,,,1765121804263,5
1765121804258,1,339,,,1765121804263,5
1765121804283,1,340,340,,,
1765121804283,2,340,340,,,
1765121804283,2,340,,,1765121804294,11
1765121804283,1,340,,,1765121804294,11
1765121804309,1,341,341,,,
1765121804309,2,341,341,,,
1765121804309,2,341,,,1765121804325,16
1765121804309,1,341,,,1765121804325,16
1765121804335,1,342,342,,,
1765121804335,2,342,342,,,
1765121804335,2,342,,,1765121804342,7
1765121804335,1,342,,,1765121804342,7
1765121804360,1,343,343,,,
1765121804360,2,343,343,,,
1765121804360,2,343,,,1765121804374,14
1765121804360,1,343,,,1765121804374,14
1765121804386,1,344,344,,,
1765121804386,2,344,344,,,
1765121804386,2,344,,,1765121804391,5
1765121804386,1,344,,,1765121804391,5
1765121804413,1,345,345,,,
1765121804413,2,345,345,,,
1765121804413,2,345,,,1765121804422,9
1765121804413,1,345,,,1765121804422,9
1765121804438,1,346,346,,,
1765121804438,2,346,346,,,
1765121804438,2,346,,,1765121804455,17
1765121804438,1,346,,,1765121804455,17
1765121804464,1,347,347,,,
1765121804464,2,347,347,,,
1765121804464,2,347,,,1765121804471,7
1765121804464,1,347,,,1765121804471,7
1765121804490,1,348,348,,,
1765121804490,2,348,348,,,
1765121804490,2,348,,,1765121804502,12
1765121804490,1,348,,,1765121804502,12
1765121804515,1,349,349,,,
1765121804515,2,349,349,,,
1765121804515,2,349,,,1765121804519,4
1765121804515,1,349,,,1765121804519,4
1765121804541,1,350,350,,,
1765121804541,2,350,350,,,
1765121804541,2,350,,,1765121804551,10
1765121804541,1,350,,,1765121804551,10
1765121804567,1,351,351,,,
1765121804567,2,351,351,,,
1765121804567,2,351,,,1765121804583,16
1765121804567,1,351,,,1765121804583,16
1765121804593,1,352,352,,,
1765121804593,2,352,352,,,
1765121804593,2,352,,,1765121804598,5
1765121804593,1,352,,,1765121804599,6
1765121804619,1,353,353,,,
1765121804619,2,353,353,,,
1765121804619,1,353,,,1765121804629,10
1765121804619,2,353,,,1765121804629,10
1765121804645,1,354,354,,,
1765121804645,2,354,354,,,
1765121804645,2,354,,,1765121804660,15
1765121804645,1,354,,,1765121804660,15
1765121804671,1,355,355,,,
1765121804671,2,355,355,,,
1765121804671,2,355,,,1765121804675,4
1765121804671,1,355,,,1765121804676,5
1765121804697,1,356,356,,,
1765121804697,2,356,356,,,
1765121804697,2,356,,,1765121804707,10
1765121804697,1,356,,,1765121804707,10
1765121804722,1,357,357,,,
1765121804722,2,357,357,,,
1765121804722,2,357,,,1765121804739,17
1765121804722,1,357,,,1765121804739,17
1765121804748,1,358,358,,,
1765121804748,2,358,358,,,
1765121804748,2,358,,,1765121804755,7
1765121804748,1,358,,,1765121804755,7
1765121804774,1,359,359,,,
1765121804774,2,359,359,,,
1765121804774,2,359,,,1765121804787,13
1765121804774,1,359,,,1765121804787,13
1765121804799,1,360,360,,,
1765121804799,2,360,360,,,
1765121804799,2,360,,,1765121804803,4
1765121804799,1,360,,,1765121804803,4
1765121804825,1,361,361,,,
1765121804825,2,361,361,,,
1765121804825,1,361,,,1765121804834,9
1765121804825,2,361,,,1765121804834,9
1765121804850,1,362,362,,,
1765121804850,2,362,362,,,
1765121804850,1,362,,,1765121804864,14
1765121804850,2,362,,,1765121804865,15
1765121804876,1,363,363,,,
1765121804876,2,363,363,,,
1765121804876,2,363,,,1765121804881,5
1765121804876,1,363,,,1765121804881,5
1765121804902,1,364,364,,,
1765121804902,2,364,364,,,
1765121804902,1,364,,,1765121804914,12
1765121804902,2,364,,,1765121804914,12
1765121804927,1,365,365,,,
1765121804927,2,365,365,,,
1765121804927,2,365,,,1765121804930,3
1765121804927,1,365,,,1765121804930,3
1765121804952,1,366,366,,,
1765121804952,2,366,366,,,
1765121804952,1,366,,,1765121804962,10
1765121804952,2,366,,,1765121804962,10
1765121804979,1,367,367,,,
1765121804979,2,367,367,,,
1765121804979,2,367,,,1765121804994,15
1765121804979,1,367,,,1765121804995,16
1765121805004,1,368,368,,,
1765121805004,2,368,368,,,
1765121805004,2,368,,,1765121805010,6
1765121805004,1,368,,,1765121805010,6
1765121805030,1,369,369,,,
1765121805030,2,369,369,,,
1765121805056,1,370,370,,,
1765121805056,2,370,370,,,
1765121805030,2,369,,,1765121805057,27
1765121805056,2,370,,,1765121805057,1
1765121805030,1,369,,,1765121805058,28
1765121805056,1,370,,,1765121805058,2
1765121805082,1,371,371,,,
1765121805082,2,371,371,,,
1765121805082,2,371,,,1765121805090,8
1765121805082,1,371,,,1765121805090,8
1765121805107,1,372,372,,,
1765121805107,2,372,372,,,
1765121805107,1,372,,,1765121805122,15
1765121805107,2,372,,,1765121805122,15
1765121805133,1,373,373,,,
1765121805133,2,373,373,,,
1765121805133,2,373,,,1765121805138,5
1765121805133,1,373,,,1765121805138,5
1765121805158,1,374,374,,,
1765121805158,2,374,374,,,
1765121805158,2,374,,,1765121805171,13
1765121805158,1,374,,,1765121805171,13
1765121805184,1,375,375,,,
1765121805184,2,375,375,,,
1765121805184,2,375,,,1765121805187,3
1765121805184,1,375,,,1765121805187,3
1765121805210,1,376,376,,,
1765121805210,2,376,376,,,
1765121805210,1,376,,,1765121805219,9
1765121805210,2,376,,,1765121805219,9
1765121805236,1,377,377,,,
1765121805236,2,377,377,,,
1765121805236,1,377,,,1765121805251,15
1765121805236,2,377,,,1765121805252,16
1765121805261,1,378,378,,,
1765121805261,2,378,378,,,
1765121805261,1,378,,,1765121805267,6
1765121805261,2,378,,,1765121805283,22
1765121805287,1,379,379,,,
1765121805287,2,379,379,,,
1765121805287,1,379,,,1765121805299,12
1765121805287,2,379,,,1765121805299,12
1765121805312,1,380,380,,,
1765121805312,2,380,380,,,
1765121805312,1,380,,,1765121805315,3
1765121805312,2,380,,,1765121805315,3
1765121805338,1,381,381,,,
1765121805338,2,381,381,,,
1765121805338,2,381,,,1765121805346,8
1765121805338,1,381,,,1765121805346,8
1765121805363,1,382,382,,,
1765121805363,2,382,382,,,
1765121805363,2,382,,,1765121805376,13
1765121805363,1,382,,,1765121805376,13
1765121805389,1,383,383,,,
1765121805389,2,383,383,,,
1765121805389,2,383,,,1765121805392,3
1765121805389,1,383,,,1765121805393,4
1765121805414,1,384,384,,,
1765121805414,2,384,384,,,
1765121805414,1,384,,,1765121805424,10
1765121805414,2,384,,,1765121805424,10
1765121805440,1,385,385,,,
1765121805440,2,385,385,,,
1765121805440,1,385,,,1765121805440,0
1765121805440,2,385,,,1765121805456,16
1765121805466,1,386,386,,,
1765121805466,2,386,386,,,
1765121805466,1,386,,,1765121805471,5
1765121805466,2,386,,,1765121805471,5
1765121805491,1,387,387,,,
1765121805491,2,387,387,,,
1765121805491,1,387,,,1765121805503,12
1765121805491,2,387,,,1765121805503,12
1765121805517,1,388,388,,,
1765121805517,2,388,388,,,
1765121805517,2,388,,,1765121805518,1
1765121805517,1,388,,,1765121805519,2
1765121805542,1,389,389,,,
1765121805542,2,389,389,,,
1765121805542,2,389,,,1765121805549,7
1765121805542,1,389,,,1765121805549,7
1765121805567,1,390,390,,,
1765121805567,2,390,390,,,
1765121805567,2,390,,,1765121805581,14
1765121805567,1,390,,,1765121805581,14
1765121805593,1,391,391,,,
1765121805593,2,391,391,,,
1765121805593,2,391,,,1765121805597,4
1765121805593,1,391,,,1765121805597,4
1765121805619,1,392,392,,,
1765121805619,2,392,392,,,
1765121805619,2,392,,,1765121805628,9
1765121805619,1,392,,,1765121805628,9
1765121805645,1,393,393,,,
1765121805645,2,393,393,,,
1765121805645,2,393,,,1765121805647,2
1765121805645,1,393,,,1765121805647,2
1765121805672,1,394,394,,,
1765121805672,2,394,394,,,
1765121805672,2,394,,,1765121805677,5
1765121805672,1,394,,,1765121805677,5
1765121805698,1,395,395,,,
1765121805698,2,395,395,,,
